"Buybox Checkout Token does not exist.", "Buybox Checkout Token does not exist."
"Buybox Gift Card", "Buybox Gift Card"
"Buybox gateway has rejected request. %s", "Buybox gateway has rejected request. %s"
"Checkout Settings", "Checkout Settings"
"Discount", "Discount"
"Discount Tax", "Discount Tax"
"Display action button", "Display action button"
"Enable Buybox checkout", "Enable Buybox checkout"
"Example: Use your gift card", "Example: Use your gift card"
"Example: lapomme.buybox.net", "Example: lapomme.buybox.net"
"FrontEnd Experience Settings", "FrontEnd Experience Settings"
"Give a gift card", "Give a gift card"
"Javascript API key", "Javascript API key"
"Last Correlation ID", "Last Correlation ID"
"Last Transaction ID", "Last Transaction ID"
"Modal popup", "Modal popup"
"No", "No"
"None", "None"
"Payer Email", "Payer Email"
"Payer ID", "Payer ID"
"Payment API password", "Payment API password"
"Payment API signature", "Payment API signature"
"Payment API username", "Payment API username"
"Payment action", "Payment action"
"Payment sort order", "Payment sort order"
"Payment title at checkout page", "Payment title at checkout page"
"Sale", "Sale"
"Sandbox mode", "Sandbox mode"
"Service domain", "Service domain"
"Shipping", "Shipping"
"Unable to calculate cart line item totals.", "Unable to calculate cart line item totals."
"Unable to cancel Checkout.", "Unable to cancel Checkout."
"Unable to communicate with the Buybox gateway.", "Unable to communicate with the Buybox gateway."
"Unable to initialize Buybox Checkout.", "Unable to initialize Buybox Checkout."
"Unable to process Buybox return.", "Unable to process Buybox return."
"Unable to start Buybox Checkout.", "Unable to start Buybox Checkout."
"Upload your customized image of this button", "Upload your customized image of this button"
"User action", "User action"
"Wrong Buybox Checkout Token specified.", "Wrong Buybox Checkout Token specified."
"Yes", "Yes"
"client_id", "client_id"
"commit", "commit"
"continue", "continue"